0 0.134632
2 0.130753
3 0.125175
6 0.119994
7 0.108886
11 0.089892
13 0.088647
15 0.084494
17 0.079270
18 0.076288
19 0.072108
29 0.068093
30 0.067664
33 0.058973
58 0.055096
78 0.047134
132 0.043950
145 0.043341
154 0.043123
173 0.041750
199 0.041191
238 0.039537
255 0.039474
273 0.037915
288 0.037264
345 0.036186
350 0.035488
363 0.033585
422 0.033126
457 0.031096
468 0.030745
469 0.029921
503 0.028501
505 0.027697
506 0.027336
527 0.026905
552 0.026268
553 0.023838
603 0.023220
605 0.022427
643 0.021584
672 0.019560
699 0.018937
714 0.016751
759 0.016563
804 0.015103
869 0.014731
875 0.013610
890 0.011916
1069 0.007824
1181 0.007727
1197 0.006767
1534 0.005951
1622 0.005750
1718 0.005611
1720 0.004562
1754 0.003330
1932 0.003132
1966 0.000901
2116 0.000823
3105 0.000232
3664 0.000120
8597 0.000092
9745 0.000072
