0 0.134036
3 0.132982
4 0.129684
6 0.109495
7 0.103637
8 0.087670
11 0.086118
12 0.080398
24 0.079253
25 0.078115
28 0.073832
30 0.073038
32 0.071415
34 0.065404
41 0.064792
42 0.063346
43 0.062299
45 0.057331
59 0.049813
90 0.044765
119 0.044464
126 0.042728
131 0.042655
168 0.039168
174 0.038417
233 0.038315
242 0.036543
280 0.035382
359 0.034516
377 0.032453
412 0.030712
415 0.030313
429 0.027358
486 0.026170
494 0.024224
521 0.023599
543 0.022417
596 0.020524
613 0.020280
630 0.017310
690 0.016772
750 0.015623
755 0.013260
846 0.012943
869 0.012774
895 0.012763
899 0.011785
934 0.011298
995 0.011047
999 0.010685
1006 0.010302
1033 0.010118
1041 0.007425
1114 0.007185
1261 0.006414
1290 0.004577
1665 0.004094
1807 0.003664
2141 0.002340
2759 0.001738
2760 0.001713
3225 0.001685
3826 0.001671
